>2015-06-05_12-15-24;app;pantalla de carga
>2015-06-05_12-15-27;app;pantalla de tarificacion extra
>2015-06-05_12-15-30;app;iniciada IMEI:354805066296819
>2015-06-05_12-15-30;caidas;no existe preferencia, servicio iniciado
>2015-06-05_12-15-30;zona segura;servicio no iniciado
>2015-06-05_12-15-30;bateria;reciver activo
>2015-06-05_12-15-30;bateria;monitor iniciado
>2015-06-05_12-15-30;bateria;nivel: 97 estado: Descargando tasa de refresco: 4
>2015-06-05_12-15-30;configuracion;datos personales
>2015-06-05_12-15-43;appSharedPreferences;nombre y apellidos creados : Paqui-Wals
>2015-06-05_12-15-43;configuracion;personas contacto
>2015-06-05_12-15-49;appSharedPreferences;contactos creados : Teleasistencia TIC-686 87 07 55_-_-
>2015-06-05_12-15-53;boton;configuracion pulsado
>2015-06-05_12-15-53;configuracion;opciones usuario
>2015-06-05_12-15-55;configuracion;zona segura
>2015-06-05_12-16-18;zona segura;zona segura establecida: 37.86764870024237,-4.7737788408994675,10.0
>2015-06-05_12-17-26;zona segura;zona segura establecida: 37.869135,-4.776789,10.0
>2015-06-05_12-17-28;zona segura;zona segura establecida: 37.869135,-4.776789,390.0
>2015-06-05_12-17-28;zona segura;zona segura establecida: 37.869135,-4.776789,390.0
>2015-06-05_12-17-28;zona segura;zona segura establecida: 37.869135,-4.776789,350.0
>2015-06-05_12-17-28;zona segura;zona segura establecida: 37.869135,-4.776789,350.0
>2015-06-05_12-17-28;zona segura;zona segura establecida: 37.869135,-4.776789,470.0
>2015-06-05_12-17-28;zona segura;zona segura establecida: 37.869135,-4.776789,470.0
>2015-06-05_12-17-28;zona segura;zona segura establecida: 37.869135,-4.776789,570.0
>2015-06-05_12-17-28;zona segura;zona segura establecida: 37.869135,-4.776789,570.0
>2015-06-05_12-17-28;zona segura;zona segura establecida: 37.869135,-4.776789,670.0
>2015-06-05_12-17-28;zona segura;zona segura establecida: 37.869135,-4.776789,670.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,740.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,740.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,800.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,800.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,910.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,910.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,1060.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,1060.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,1110.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,1110.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,1170.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,1170.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,1230.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,1230.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,1250.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,1250.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,1280.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,1280.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,1300.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,1300.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,1340.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,1340.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,1370.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,1370.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,1420.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,1420.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,1510.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,1510.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,1670.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,1670.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,1780.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,1780.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,1920.0
>2015-06-05_12-17-29;zona segura;zona segura establecida: 37.869135,-4.776789,1920.0
